infinitive,1p_sing,2p_sing,3p_sing,1p_plur,2p_plur,3p_plur,definition
навчати,навчаю,навчаєш,навчає,навчаємо,навчаєте,навчають,"to teach, to instruct (with person in accusative case + noun in genitive case or + infinitive)"
катувати,катую,катуєш,катує,катуємо,катуєте,катують,to torture
гадати,гадаю,гадаєш,гадає,гадаємо,гадаєте,гадають,to think (about: про (pro) + accusative)
відлітати,відлітаю,відлітаєш,відлітає,відлітаємо,відлітаєте,відлітають,"to fly away, to fly off, to take off"
доростати,доростаю,доростаєш,доростає,доростаємо,доростаєте,доростають,"to grow (to; as high as), to reach"
дорослішати,дорослішаю,дорослішаєш,дорослішає,дорослішаємо,дорослішаєте,дорослішають,"to grow up, to get older (get closer to attaining adulthood)"
клясти,кляну,клянеш,кляне,клянемо,клянете,клянуть,"to curse, to execrate, to damn (imprecate evil upon)"
звертати,звертаю,звертаєш,звертає,звертаємо,звертаєте,звертають,to turn (change one's direction of movement)
звертатися,звертаюсь,звертаєшся,звертається,звертаємось,звертаєтесь,звертаються,"to turn (to), to address (direct one's words or attention)"
спрямовувати,спрямовую,спрямовуєш,спрямовує,спрямовуємо,спрямовуєте,спрямовують,"to direct, to turn, to aim"
відображати,відображаю,відображаєш,відображає,відображаємо,відображаєте,відображають,"to reflect, to represent (constitute a representation of)"
друкуватися,друкуюсь,друкуєшся,друкується,друкуємось,друкуєтесь,друкуються,passive of друкува́ти impf (drukuváty): to be printed
економити,економлю,економиш,економить,економимо,економите,економлять,"to save, to economize (use frugally, minimize expenditure of)"
зберігати,зберігаю,зберігаєш,зберігає,зберігаємо,зберігаєте,зберігають,"to keep, to preserve, to conserve, to maintain (protect against deterioration or depletion)"
заощаджувати,заощаджую,заощаджуєш,заощаджує,заощаджуємо,заощаджуєте,заощаджують,"to save, to economize (store unspent; avoid the expenditure of)"
усміхатися,усміхаюсь,усміхаєшся,усміхається,усміхаємось,усміхаєтесь,усміхаються,to smile
насолоджуватися,насолоджуюсь,насолоджуєшся,насолоджується,насолоджуємось,насолоджуєтесь,насолоджуються,"to enjoy, to delight (in), to revel (in) (take pleasure)"
слідкувати,слідкую,слідкуєш,слідкує,слідкуємо,слідкуєте,слідкують,"to follow, to track, to trace"
смажити,смажу,смажиш,смажить,смажимо,смажите,смажать,to roast
кипіти,киплю,кипиш,кипить,кипимо,кипите,киплять,"to boil, to simmer, to seethe"
кип'ятити,кип'ячу,кип'ятиш,кип'ятить,кип'ятимо,кип'ятите,кип'ятять,to boil
уособлювати,уособлюю,уособлюєш,уособлює,уособлюємо,уособлюєте,уособлюють,to personify
розпродавати,розпродаю,розпродаєш,розпродає,розпродаємо,розпродаєте,розпродають,to sell off (sell items for the purpose of getting rid of them)
розказувати,розказую,розказуєш,розказує,розказуємо,розказуєте,розказують,"to tell, to narrate, to recount, to relate"
вечеряти,вечеряю,вечеряєш,вечеряє,вечеряємо,вечеряєте,вечеряють,"to have dinner, to have supper"
курити,курю,куриш,курить,куримо,курите,курять,to smoke (tobacco etc.)
допускати,допускаю,допускаєш,допускає,допускаємо,допускаєте,допускають,to admit (grant entrance or access to)
вибудовувати,вибудовую,вибудовуєш,вибудовує,вибудовуємо,вибудовуєте,вибудовують,"to build up, to erect, to construct"
вивчати,вивчаю,вивчаєш,вивчає,вивчаємо,вивчаєте,вивчають,to study
припускати,припускаю,припускаєш,припускає,припускаємо,припускаєте,припускають,"to assume, to presume, to suppose, to presuppose"
виглядати,виглядаю,виглядаєш,виглядає,виглядаємо,виглядаєте,виглядають,"to look out, to peep out"
винаходити,винаходжу,винаходиш,винаходить,винаходимо,винаходите,винаходять,to invent
віддаляти,віддаляю,віддаляєш,віддаляє,віддаляємо,віддаляєте,віддаляють,"to move away, to remove (move to a more distant place)"
виявлятися,виявляюсь,виявляєшся,виявляється,виявляємось,виявляєтесь,виявляються,"to show itself, to manifest itself, to become apparent"
пропонувати,пропоную,пропонуєш,пропонує,пропонуємо,пропонуєте,пропонують,to offer
влаштовуватися,влаштовуюсь,влаштовуєшся,влаштовується,влаштовуємось,влаштовуєтесь,влаштовуються,passive of влашто́вувати impf (vlaštóvuvaty)
зустрічати,зустрічаю,зустрічаєш,зустрічає,зустрічаємо,зустрічаєте,зустрічають,"to meet, to encounter"
вітати,вітаю,вітаєш,вітає,вітаємо,вітаєте,вітають,"to greet, to hail, to salute"
поздоровляти,поздоровляю,поздоровляєш,поздоровляє,поздоровляємо,поздоровляєте,поздоровляють,"to congratulate, to felicitate (on something: з (z) + instrumental)"
зустрічатися,зустрічаюсь,зустрічаєшся,зустрічається,зустрічаємось,зустрічаєтесь,зустрічаються,"to meet (with), to encounter, to come across (з (z) + instrumental)"
повставати,повстаю,повстаєш,повстає,повстаємо,повстаєте,повстають,"to rise up, to revolt, to rebel (mount an insurrection)"
вчиняти,вчиняю,вчиняєш,вчиняє,вчиняємо,вчиняєте,вчиняють,"to do, to make, to perform (carry out an action)"
спізнюватися,спізнююсь,спізнюєшся,спізнюється,спізнюємось,спізнюєтесь,спізнюються,to be late
озброювати,озброюю,озброюєш,озброює,озброюємо,озброюєте,озброюють,to arm (equip with weaponry)
погоджуватися,погоджуюсь,погоджуєшся,погоджується,погоджуємось,погоджуєтесь,погоджуються,"to agree, to consent (give approval)"
конкурувати,конкурую,конкуруєш,конкурує,конкуруємо,конкуруєте,конкурують,to compete
розповсюджувати,розповсюджую,розповсюджуєш,розповсюджує,розповсюджуємо,розповсюджуєте,розповсюджують,to distribute (:documents)
поширювати,поширюю,поширюєш,поширює,поширюємо,поширюєте,поширюють,"to widen, to broaden, to expand"
випромінювати,випромінюю,випромінюєш,випромінює,випромінюємо,випромінюєте,випромінюють,"to radiate, to emit"
розширювати,розширюю,розширюєш,розширює,розширюємо,розширюєте,розширюють,"to widen, to broaden, to expand, to enlarge, to extend"
