infinitive,1p_sing,2p_sing,3p_sing,1p_plur,2p_plur,3p_plur,definition
озиратися,озираюсь,озираєшся,озирається,озираємось,озираєтесь,озираються,"to look about, to look around, to look round"
прирікати,прирікаю,прирікаєш,прирікає,прирікаємо,прирікаєте,прирікають,"to condemn, to destine, to doom, to fate, to predoom (to something: на + accusative / до + genitive) (fix irrevocably the ill fate of)"
зазіхати,зазіхаю,зазіхаєш,зазіхає,зазіхаємо,зазіхаєте,зазіхають,"to encroach, to infringe, to trespass (on, upon: на + accusative)"
виіжджати,виіжджаю,виіжджаєш,виіжджає,виіжджаємо,виіжджаєте,виіжджають,"to depart, to exit, to go, to go out, to drive out, to leave, to ride out, to travel out (perform outbound movement by means of transportation)"
відправляти,відправляю,відправляєш,відправляє,відправляємо,відправляєте,відправляють,"to send, to send off, to dispatch, to forward"
виіздити,виіжджу,виіздиш,виіздить,виіздимо,виіздите,виіздять,"to depart, to exit, to go, to go out, to drive out, to leave, to ride out, to travel out (perform outbound movement by means of transportation)"
дивуватися,дивуюсь,дивуєшся,дивується,дивуємось,дивуєтесь,дивуються,"to marvel, to wonder, to be amazed, to be astonished, to be surprised (at: + dative / з + genitive)"
вивозити,вивожу,вивозиш,вивозить,вивозимо,вивозите,вивозять,"to bring out, to carry out, to drive out, to remove, to ship out, to take out, to transport out (convey in an outbound direction by vehicle)"
видаляти,видаляю,видаляєш,видаляє,видаляємо,видаляєте,видаляють,"to ablate, to cut out, to excise, to remove (take out by cutting or tearing)"
барикадувати,барикадую,барикадуєш,барикадує,барикадуємо,барикадуєте,барикадують,to barricade
замовчувати,замовчую,замовчуєш,замовчує,замовчуємо,замовчуєте,замовчують,"to keep silent about, to remain silent about, to hush up"
поділяти,поділяю,поділяєш,поділяє,поділяємо,поділяєте,поділяють,to divide
жертвувати,жертвую,жертвуєш,жертвує,жертвуємо,жертвуєте,жертвують,"to donate, to give"
вибухати,вибухаю,вибухаєш,вибухає,вибухаємо,вибухаєте,вибухають,"to blow up, to explode"
звеличувати,звеличую,звеличуєш,звеличує,звеличуємо,звеличуєте,звеличують,"to aggrandize, to bring greatness to"
втомлюватися,втомлююсь,втомлюєшся,втомлюється,втомлюємось,втомлюєтесь,втомлюються,"to tire, to become weary"
пригноблювати,пригноблюю,пригноблюєш,пригноблює,пригноблюємо,пригноблюєте,пригноблюють,to oppress (keep down by unjust force)
стомлюватися,стомлююсь,стомлюєшся,стомлюється,стомлюємось,стомлюєтесь,стомлюються,"to tire, to become weary"
розчленовувати,розчленовую,розчленовуєш,розчленовує,розчленовуємо,розчленовуєте,розчленовують,"to dismember, to disarticulate, to disjoint"
вигукувати,вигукую,вигукуєш,вигукує,вигукуємо,вигукуєте,вигукують,"to cry out, to exclaim, to shout, to shout out"
облагороджувати,облагороджую,облагороджуєш,облагороджує,облагороджуємо,облагороджуєте,облагороджують,"to ennoble, to refine (bestow with nobility, honour or grace)"
втомлювати,втомлюю,втомлюєш,втомлює,втомлюємо,втомлюєте,втомлюють,"to tire, to weary, to fatigue"
зичити,зичу,зичиш,зичить,зичимо,зичите,зичать,(+genitive with the direct object and +dative with the indirect) to wish (to bestow a thought or gesture towards someone or something)
зичити,зичу,зичиш,зичить,зичимо,зичите,зичать,to borrow
почуватися,почуваюсь,почуваєшся,почувається,почуваємось,почуваєтесь,почуваються,"passive of почува́ти impf (počuváty): to be felt, to be sensed"
загальмовувати,загальмовую,загальмовуєш,загальмовує,загальмовуємо,загальмовуєте,загальмовують,"to brake, to apply the brakes (to)"
вигризати,вигризаю,вигризаєш,вигризає,вигризаємо,вигризаєте,вигризають,to nibble up a hole
навчатися,навчаюсь,навчаєшся,навчається,навчаємось,навчаєтесь,навчаються,"to study; to train; to work ones way through university, college, etc."
бронювати,бронюю,бронюєш,бронює,бронюємо,бронюєте,бронюють,"to book, to reserve (:room, place, seat, etc.)"
бронювати,бронюю,бронюєш,бронює,бронюємо,бронюєте,бронюють,to armour
маневрувати,маневрую,маневруєш,маневрує,маневруємо,маневруєте,маневрують,"to manoeuvre (UK), to maneuver (US) (someone or something: + instrumental)"
появлятися,появляюсь,появляєшся,появляється,появляємось,появляєтесь,появляються,"to appear, to show up, to show oneself, to turn up (come into view, become visible, make an appearance)"
обганяти,обганяю,обганяєш,обганяє,обганяємо,обганяєте,обганяють,"to outdistance, to outrun, to outstrip, to overtake"
заманювати,заманюю,заманюєш,заманює,заманюємо,заманюєте,заманюють,"to lure, to entice"
чорніти,чорнію,чорнієш,чорніє,чорніємо,чорнієте,чорніють,"to blacken, to become black, to grow black, to turn black"
темніти,темнію,темнієш,темніє,темніємо,темнієте,темніють,"to darken, to become dark, to grow dark, to turn dark"
верещати,верещу,верещиш,верещить,верещимо,верещите,верещать,to squeal (to scream a high-pitched squeal)
роздавлювати,роздавлюю,роздавлюєш,роздавлює,роздавлюємо,роздавлюєте,роздавлюють,"to crush, to squash"
дєкувати,дєкую,дєкуєш,дєкує,дєкуємо,дєкуєте,дєкують,Alternative form of дя́кувати (djákuvaty)
записуватися,записуюсь,записуєшся,записується,записуємось,записуєтесь,записуються,"to register, to sign up, to enrol, to put one's name down, (for/in: у/в + accusative)"
обмінювати,обмінюю,обмінюєш,обмінює,обмінюємо,обмінюєте,обмінюють,to exchange
реєструватися,реєструюсь,реєструєшся,реєструється,реєструємось,реєструєтесь,реєструються,"to register, to register oneself"
відбудовувати,відбудовую,відбудовуєш,відбудовує,відбудовуємо,відбудовуєте,відбудовують,"to rebuild, to reconstruct, to restore"
перебудовувати,перебудовую,перебудовуєш,перебудовує,перебудовуємо,перебудовуєте,перебудовують,"to rebuild, to reconstruct, to remodel, to overhaul (build again in a new way)"
розбудовувати,розбудовую,розбудовуєш,розбудовує,розбудовуємо,розбудовуєте,розбудовують,"to build up, to develop, to expand (make more extensive with additional construction)"
медитувати,медитую,медитуєш,медитує,медитуємо,медитуєте,медитують,to meditate
иотувати,иотую,иотуєш,иотує,иотуємо,иотуєте,иотують,to iotate
піднімати,піднімаю,піднімаєш,піднімає,піднімаємо,піднімаєте,піднімають,"to lift, to raise, to elevate, to hike, to hoist"
дуркувати,дуркую,дуркуєш,дуркує,дуркуємо,дуркуєте,дуркують,"to fool around, to behave like a fool"
перегруповувати,перегруповую,перегруповуєш,перегруповує,перегруповуємо,перегруповуєте,перегруповують,to regroup
зачаровувати,зачаровую,зачаровуєш,зачаровує,зачаровуємо,зачаровуєте,зачаровують,"to bewitch, to cast a spell (on), to cast spells (on), to enchant"
ночувати,ночую,ночуєш,ночує,ночуємо,ночуєте,ночують,"to spend the night, to stay the night, to stay overnight, to sleep over, to overnight"
розкопувати,розкопую,розкопуєш,розкопує,розкопуємо,розкопуєте,розкопують,"to dig out, to excavate"
викопувати,викопую,викопуєш,викопує,викопуємо,викопуєте,викопують,"to dig (:ditch, hole, grave, well, etc.)"
трактувати,трактую,трактуєш,трактує,трактуємо,трактуєте,трактують,to interpret
зміцнювати,зміцнюю,зміцнюєш,зміцнює,зміцнюємо,зміцнюєте,зміцнюють,"to strengthen, to consolidate, to reinforce"
вимушувати,вимушую,вимушуєш,вимушує,вимушуємо,вимушуєте,вимушують,"to compel, to extort, to force"
умишляти,умишляю,умишляєш,умишляє,умишляємо,умишляєте,умишляють,"to plan, plot, (to intend to do something secretly, especially something reprehensible)"
розмножувати,розмножую,розмножуєш,розмножує,розмножуємо,розмножуєте,розмножують,"to multiply (increase the amount, degree or number of)"
розкошувати,розкошую,розкошуєш,розкошує,розкошуємо,розкошуєте,розкошують,"to live in luxury, to live in the lap of luxury, to live luxuriously, to live high on the hog, to live in clover"
щебетати,щебечу,щебечеш,щебече,щебечемо,щебечете,щебечуть,"to chirrup, to chirp, to tweet, to twitter, to warble"
опалювати,опалюю,опалюєш,опалює,опалюємо,опалюєте,опалюють,"to heat, to warm"
доводитися,доводжусь,доводишся,доводиться,доводимось,доводитесь,доводяться,"to be related (to somebody: + dative case, as (a relative): + instrumental case)"
скачувати,скачую,скачуєш,скачує,скачуємо,скачуєте,скачують,to roll up
відокремлюватися,відокремлююсь,відокремлюєшся,відокремлюється,відокремлюємось,відокремлюєтесь,відокремлюються,"to separate, to be separated, to detach, to be detached, to come away"
жерти,жеру,жереш,жере,жеремо,жерете,жеруть,"to devour, to gobble, to gorge oneself on, to scoff (eat greedily)"
висмоктувати,висмоктую,висмоктуєш,висмоктує,висмоктуємо,висмоктуєте,висмоктують,"to suck out, to suck"
розвалюватися,розвалююсь,розвалюєшся,розвалюється,розвалюємось,розвалюєтесь,розвалюються,"to collapse, to crumble, to disintegrate, to fall apart, to fall to pieces, to tumble down"
відмежовуватися,відмежовуюсь,відмежовуєшся,відмежовується,відмежовуємось,відмежовуєтесь,відмежовуються,"to dissociate oneself, to distance oneself, to mark oneself off, to separate oneself (from: від + genitive)"
тремтіти,тремчу,тремтиш,тремтить,тремтимо,тремтите,тремтять,"to quake, to quiver, to shake, to shiver, to tremble"
практикувати,практикую,практикуєш,практикує,практикуємо,практикуєте,практикують,to practise (perform or observe in a habitual fashion; put into practice; apply in practice)
практикуватися,практикуюсь,практикуєшся,практикується,практикуємось,практикуєтесь,практикуються,to practise (something: + у / в / на + locative; doing: + infinitive; on somebody/something: + на + locative) (repeat an activity as a way of improving one's skill in that activity)
тренуватися,тренуюсь,тренуєшся,тренується,тренуємось,тренуєтесь,тренуються,"to train oneself, to train, to exercise, to practise (practice an ability; improve one's fitness)"
видумувати,видумую,видумуєш,видумує,видумуємо,видумуєте,видумують,"to come up with, to contrive, to devise, to invent, to think up"
вигадувати,вигадую,вигадуєш,вигадує,вигадуємо,вигадуєте,вигадують,"to come up with, to contrive, to devise, to invent, to think up"
вигадувати,вигадую,вигадуєш,вигадує,вигадуємо,вигадуєте,вигадують,"to gain (:financial benefit, time saving, reduction in travel distance, etc.)"
окреслювати,окреслюю,окреслюєш,окреслює,окреслюємо,окреслюєте,окреслюють,"to outline, to delineate, to circumscribe"
креслити,креслю,креслиш,креслить,креслимо,креслите,креслять,"to draw, to trace (depict with lines)"
відкопувати,відкопую,відкопуєш,відкопує,відкопуємо,відкопуєте,відкопують,"to dig out, to dig up, to excavate, to unearth"
інтригувати,інтригую,інтригуєш,інтригує,інтригуємо,інтригуєте,інтригують,"to intrigue, to machinate, to plot, to scheme (conceive or carry out a secret plan intended to harm)"
блефувати,блефую,блефуєш,блефує,блефуємо,блефуєте,блефують,to bluff (to give the impression that one's hand is stronger than it is)
втікати,втікаю,втікаєш,втікає,втікаємо,втікаєте,втікають,"to flow in, to pour in"
втікати,втікаю,втікаєш,втікає,втікаємо,втікаєте,втікають,"to flee, to get away, to run away, to run off"
попрощатися,попрощаюсь,попрощаєшся,попрощається,попрощаємось,попрощаєтесь,попрощаються,"to say goodbye, to bid farewell, to take one's leave (to/from somebody: + з + instrumental)"
викривати,викриваю,викриваєш,викриває,викриваємо,викриваєте,викривають,"to expose, to unmask (:wrongdoer, wrongdoing)"
розкривати,розкриваю,розкриваєш,розкриває,розкриваємо,розкриваєте,розкривають,to open
накривати,накриваю,накриваєш,накриває,накриваємо,накриваєте,накривають,to cover
закопувати,закопую,закопуєш,закопує,закопуємо,закопуєте,закопують,"to bury, to inter"
розголошувати,розголошую,розголошуєш,розголошує,розголошуємо,розголошуєте,розголошують,"to disclose, to divulge, to publicize"
голосити,голошу,голосиш,голосить,голосимо,голосите,голосять,to wail
голосити,голошу,голосиш,голосить,голосимо,голосите,голосять,"to profess, to voice"
обумовлювати,обумовлюю,обумовлюєш,обумовлює,обумовлюємо,обумовлюєте,обумовлюють,to agree upon (to jointly set as a condition)
домовлятися,домовляюсь,домовляєшся,домовляється,домовляємось,домовляєтесь,домовляються,"to arrange, to make arrangements, to make a deal, to negotiate, to agree terms, to come to an agreement, to come to an understanding (about: + про + accusative)"
відрізняти,відрізняю,відрізняєш,відрізняє,відрізняємо,відрізняєте,відрізняють,"to distinguish, to tell (from: від + genitive) (to see someone or something clearly or distinctly)"
споруджувати,споруджую,споруджуєш,споруджує,споруджуємо,споруджуєте,споруджують,"to build, to construct, to erect, to raise (:structure)"
обслуговувати,обслуговую,обслуговуєш,обслуговує,обслуговуємо,обслуговуєте,обслуговують,"to cater (to/for), to supply (provide anything required or desired to)"
задумувати,задумую,задумуєш,задумує,задумуємо,задумуєте,задумують,"to conceive, to intend, to plan"
роздумувати,роздумую,роздумуєш,роздумує,роздумуємо,роздумуєте,роздумують,"to think, to deliberate, to brood, to muse, to ponder, to ruminate (on/over — над + instrumental; about — про + accusative)"
втручатися,втручаюсь,втручаєшся,втручається,втручаємось,втручаєтесь,втручаються,"to intervene, to step in, to get involved"
вдиратися,вдираюсь,вдираєшся,вдирається,вдираємось,вдираєтесь,вдираються,"to barge in, to break in, to burst in, to force entry, to force one's way in, to intrude"
заступатися,заступаюсь,заступаєшся,заступається,заступаємось,заступаєтесь,заступаються,"to intercede, to plead, to stand up, to stick up, to take up the cudgels (for/on behalf of — за + accusative)"
маиданити,маиданю,маиданиш,маиданить,маиданимо,маиданите,маиданять,to protest against actions of a government
лоскотати,лоскочу,лоскочеш,лоскоче,лоскочемо,лоскочете,лоскочуть,to tickle
наздоганяти,наздоганяю,наздоганяєш,наздоганяє,наздоганяємо,наздоганяєте,наздоганяють,"to catch up (with/to), to overtake (reach someone or something that had been ahead)"
заплющувати,заплющую,заплющуєш,заплющує,заплющуємо,заплющуєте,заплющують,to close (one's eyes)
розкритиковувати,розкритиковую,розкритиковуєш,розкритиковує,розкритиковуємо,розкритиковуєте,розкритиковують,"to criticize severely, to pan, to slam, to slate, to tear apart"
винищувати,винищую,винищуєш,винищує,винищуємо,винищуєте,винищують,"to annihilate, to destroy, to eradicate, to exterminate (to reduce to nothing)"
нарощувати,нарощую,нарощуєш,нарощує,нарощуємо,нарощуєте,нарощують,to grow (cause or allow something to become bigger)
видавати,видаю,видаєш,видає,видаємо,видаєте,видають,to give out
розважати,розважаю,розважаєш,розважає,розважаємо,розважаєте,розважають,to divert (entertain or amuse by diverting the attention)
розташовуватися,розташовуюсь,розташовуєшся,розташовується,розташовуємось,розташовуєтесь,розташовуються,"to position oneself, to settle, to settle down, to station oneself, to take up position"
видати,видаю,видаєш,видає,видаємо,видаєте,видають,to see
веселитися,веселюсь,веселишся,веселиться,веселимось,веселитесь,веселяться,"to enjoy oneself, to have a jolly time, to have fun, to make merry"
непокоітися,непокоюсь,непокоішся,непокоіться,непокоімось,непокоітесь,непокояться,"to be anxious, to be concerned, to be troubled, to be worried, to fret, to worry"
відшкодовувати,відшкодовую,відшкодовуєш,відшкодовує,відшкодовуємо,відшкодовуєте,відшкодовують,"to compensate, to indemnify, to make amends for, to make good, to make up for, to refund, to reimburse (:expense, harm, loss, etc.)"
одружувати,одружую,одружуєш,одружує,одружуємо,одружуєте,одружують,"to marry, to marry off (arrange for the marriage of; to give away as wife or husband)"
шкодувати,шкодую,шкодуєш,шкодує,шкодуємо,шкодуєте,шкодують,"to regret, to rue, to be sorry"
цитувати,цитую,цитуєш,цитує,цитуємо,цитуєте,цитують,"to cite, to quote"
загрожувати,загрожую,загрожуєш,загрожує,загрожуємо,загрожуєте,загрожують,to threaten (to make a threat against someone; to use threats)
залагоджувати,залагоджую,залагоджуєш,залагоджує,залагоджуємо,залагоджуєте,залагоджують,"to mend, to repair"
сильнішати,сильнішаю,сильнішаєш,сильнішає,сильнішаємо,сильнішаєте,сильнішають,"to strengthen, to become stronger, to get stronger, to grow stronger"
повертатися,повертаюсь,повертаєшся,повертається,повертаємось,повертаєтесь,повертаються,to turn
сканувати,сканую,скануєш,сканує,скануємо,скануєте,сканують,"to scan (inspect, analyse or go over, often to find something)"
заарештовувати,заарештовую,заарештовуєш,заарештовує,заарештовуємо,заарештовуєте,заарештовують,"to arrest, to apprehend (take into legal custody)"
калічити,калічу,калічиш,калічить,калічимо,калічите,калічать,"to cripple, to maim, to mutilate"
розплановувати,розплановую,розплановуєш,розплановує,розплановуємо,розплановуєте,розплановують,to plan out
спотворювати,спотворюю,спотворюєш,спотворює,спотворюємо,спотворюєте,спотворюють,"to contort, to deface, to deform, to disfigure, to distort, to mangle, to mutilate, to uglify (change the appearance of something/someone to the negative)"
повзати,повзаю,повзаєш,повзає,повзаємо,повзаєте,повзають,"to creep, to crawl"
нівечити,нівечу,нівечиш,нівечить,нівечимо,нівечите,нівечать,"to destroy, to ruin, to spoil, to blight"
обмотувати,обмотую,обмотуєш,обмотує,обмотуємо,обмотуєте,обмотують,"to wrap (enclose completely in any flexible, thin material)"
налагоджувати,налагоджую,налагоджуєш,налагоджує,налагоджуємо,налагоджуєте,налагоджують,"to arrange, to organize"
вчителювати,вчителюю,вчителюєш,вчителює,вчителюємо,вчителюєте,вчителюють,"to work as a teacher, to teach"
учителювати,учителюю,учителюєш,учителює,учителюємо,учителюєте,учителюють,"to work as a teacher, to teach"
розмірковувати,розмірковую,розмірковуєш,розмірковує,розмірковуємо,розмірковуєте,розмірковують,"to reflect on, to ponder, to think about"
панувати,паную,пануєш,панує,пануємо,пануєте,панують,"to rule, to reign, to dominate (govern or control by superior authority or power)"
урівноважувати,урівноважую,урівноважуєш,урівноважує,урівноважуємо,урівноважуєте,урівноважують,"to balance, to counterbalance, to counterpoise, to countervail, to equalize, to equilibrate (bring into equilibrium)"
врівноважувати,врівноважую,врівноважуєш,врівноважує,врівноважуємо,врівноважуєте,врівноважують,Alternative form of урівнова́жувати impf (urivnovážuvaty).
чаювати,чаюю,чаюєш,чаює,чаюємо,чаюєте,чаюють,to spend time drinking tea
бабрати,бабраю,бабраєш,бабрає,бабраємо,бабраєте,бабрають,to smear something
бабратися,бабраюсь,бабраєшся,бабрається,бабраємось,бабраєтесь,бабраються,to dangle body parts in something liquid and dirty
цуратися,цураюсь,цураєшся,цурається,цураємось,цураєтесь,цураються,"to shun, to avoid (+genitive, rarelier +accusative or +instrumental)"
ревнувати,ревную,ревнуєш,ревнує,ревнуємо,ревнуєте,ревнують,to be jealous (of)
ґеґекати,ґеґекаю,ґеґекаєш,ґеґекає,ґеґекаємо,ґеґекаєте,ґеґекають,To gaggle.
кавувати,кавую,кавуєш,кавує,кавуємо,кавуєте,кавують,To spend time drinking coffee.
мнихатися,мнихаюсь,мнихаєшся,мнихається,мнихаємось,мнихаєтесь,мнихаються,"To delay, to linger."
кормити,кормлю,кормиш,кормить,кормимо,кормите,кормлять,to feed
ліпити,ліплю,ліпиш,ліпить,ліпимо,ліпите,ліплять,"to model, to mould, to shape (form into a particular shape)"
заболочувати,заболочую,заболочуєш,заболочує,заболочуємо,заболочуєте,заболочують,"to swamp, to waterlog (drench or fill with water, turn into a swamp or make swampy: land, soil, etc.)"
роздратовувати,роздратовую,роздратовуєш,роздратовує,роздратовуємо,роздратовуєте,роздратовують,"to annoy, to exasperate, to irritate, to irk, to get on the nerves of, to vex"
осягати,осягаю,осягаєш,осягає,осягаємо,осягаєте,осягають,"to comprehend (comprise, embrace, include)"
спиратися,спираюсь,спираєшся,спирається,спираємось,спираєтесь,спираються,"to push in, to squeeze in"
господарювати,господарюю,господарюєш,господарює,господарюємо,господарюєте,господарюють,"to farm, to manage a farm, to run a farm"
об'єднуватися,об'єднуюсь,об'єднуєшся,об'єднується,об'єднуємось,об'єднуєтесь,об'єднуються,"to unite, to combine, to join, to amalgamate, to consolidate"
відмовлятися,відмовляюсь,відмовляєшся,відмовляється,відмовляємось,відмовляєтесь,відмовляються,to refuse (decline a request or demand)
обпльовувати,обпльовую,обпльовуєш,обпльовує,обпльовуємо,обпльовуєте,обпльовують,"to bespit, to cover with spittle, to spit all over"
перетворюватися,перетворююсь,перетворюєшся,перетворюється,перетворюємось,перетворюєтесь,перетворюються,"to turn into, to become, to change (into), to transform (into)"
тішити,тішу,тішиш,тішить,тішимо,тішите,тішать,"to cheer, to delight, to gladden, to please"
викладати,викладаю,викладаєш,викладає,викладаємо,викладаєте,викладають,to lay out
відновлюватися,відновлююсь,відновлюєшся,відновлюється,відновлюємось,відновлюєтесь,відновлюються,"to recover, to renew itself, to regenerate, to revive (regain a previous condition)"
представляти,представляю,представляєш,представляє,представляємо,представляєте,представляють,"to introduce, to present (cause (someone) to be acquainted; bring into the presence of others)"
підписуватися,підписуюсь,підписуєшся,підписується,підписуємось,підписуєтесь,підписуються,"to sign up, to put one's name down"
мерзнути,мерзну,мерзнеш,мерзне,мерзнемо,мерзнете,мерзнуть,"to freeze, to become frozen"
витирати,витираю,витираєш,витирає,витираємо,витираєте,витирають,"to wipe, to wipe dry (:surface)"
протестувати,протестую,протестуєш,протестує,протестуємо,протестуєте,протестують,"to protest, to object, to remonstrate"
колядувати,колядую,колядуєш,колядує,колядуємо,колядуєте,колядують,"to carol, to sing Christmas carols"
відключати,відключаю,відключаєш,відключає,відключаємо,відключаєте,відключають,"to cut off, to disconnect, to disengage (remove connection with a network or system)"
наливати,наливаю,наливаєш,наливає,наливаємо,наливаєте,наливають,to pour (liquid into a container)
прилітати,прилітаю,прилітаєш,прилітає,прилітаємо,прилітаєте,прилітають,to fly in (arrive by flying)
набувати,набуваю,набуваєш,набуває,набуваємо,набуваєте,набувають,"to acquire, to gain, to get, to obtain"
набувати,набуваю,набуваєш,набуває,набуваємо,набуваєте,набувають,"to shoe, to put shoes on"
хрюкати,хрюкаю,хрюкаєш,хрюкає,хрюкаємо,хрюкаєте,хрюкають,"to oink, to grunt"
симпатизувати,симпатизую,симпатизуєш,симпатизує,симпатизуємо,симпатизуєте,симпатизують,to sympathize (with)
відмовчуватися,відмовчуюсь,відмовчуєшся,відмовчується,відмовчуємось,відмовчуєтесь,відмовчуються,"to keep silent in response, to intentionally not answer"
переходити,переходжу,переходиш,переходить,переходимо,переходите,переходять,"to cross, to cross over, to pass across"
освоювати,освоюю,освоюєш,освоює,освоюємо,освоюєте,освоюють,"to develop, to open up (put to economic use)"
простоювати,простоюю,простоюєш,простоює,простоюємо,простоюєте,простоюють,"to stand, to remain standing (for some time)"
поступатися,поступаюсь,поступаєшся,поступається,поступаємось,поступаєтесь,поступаються,"to cede, to give up, to relinquish, to yield (something to someone: чи́мось (instrumental) кому́сь (dative))"
підраховувати,підраховую,підраховуєш,підраховує,підраховуємо,підраховуєте,підраховують,"to calculate, to compute, to count up, to estimate, to reckon up, to tally up"
розраховувати,розраховую,розраховуєш,розраховує,розраховуємо,розраховуєте,розраховують,"to calculate, to compute, to reckon"
переварювати,переварюю,переварюєш,переварює,переварюємо,переварюєте,переварюють,"to reboil, to boil again"
виготовляти,виготовляю,виготовляєш,виготовляє,виготовляємо,виготовляєте,виготовляють,"to make, to produce, to manufacture, to fabricate (to form by art and labour)"
продукувати,продукую,продукуєш,продукує,продукуємо,продукуєте,продукують,to produce (to make or manufacture)
травити,травлю,травиш,травить,травимо,травите,травлять,to etch (cut into a surface with an acid or other corrosive substance in order to make a pattern)
хибити,хиблю,хибиш,хибить,хибимо,хибите,хиблять,"to err, to make mistakes"
виставляти,виставляю,виставляєш,виставляє,виставляємо,виставляєте,виставляють,to put out (place outside)
дієвідмінювати,дієвідмінюю,дієвідмінюєш,дієвідмінює,дієвідмінюємо,дієвідмінюєте,дієвідмінюють,to conjugate (:verb)
відмінювати,відмінюю,відмінюєш,відмінює,відмінюємо,відмінюєте,відмінюють,to alter
відмінювати,відмінюю,відмінюєш,відмінює,відмінюємо,відмінюєте,відмінюють,"to inflect, to decline"
відміняти,відміняю,відміняєш,відміняє,відміняємо,відміняєте,відміняють,to alter
мінити,міню,міниш,мінить,мінимо,міните,мінять,"to change, to alter, to modify"
відзначати,відзначаю,відзначаєш,відзначає,відзначаємо,відзначаєте,відзначають,to mark (make recognizable by a mark; indicate in writing or by other symbols)
відставати,відстаю,відстаєш,відстає,відстаємо,відстаєте,відстають,to fall away (become detached)
перерозподіляти,перерозподіляю,перерозподіляєш,перерозподіляє,перерозподіляємо,перерозподіляєте,перерозподіляють,to redistribute
переробляти,переробляю,переробляєш,переробляє,переробляємо,переробляєте,переробляють,to process (perform a particular process on a thing)
переростати,переростаю,переростаєш,переростає,переростаємо,переростаєте,переростають,to outgrow
закладати,закладаю,закладаєш,закладає,закладаємо,закладаєте,закладають,"to put, to lay, to lay down, to place"
концентруватися,концентруюсь,концентруєшся,концентрується,концентруємось,концентруєтесь,концентруються,"to concentrate, to become concentrated (to approach or meet in a common center)"
відтерміновувати,відтерміновую,відтерміновуєш,відтерміновує,відтерміновуємо,відтерміновуєте,відтерміновують,"to postpone, to defer"
зосереджуватися,зосереджуюсь,зосереджуєшся,зосереджується,зосереджуємось,зосереджуєтесь,зосереджуються,to concentrate (to approach or meet in a common center)
казитися,кажусь,казишся,казиться,казимось,казитесь,казяться,"to rage, to get furious, to get mad"
викидати,викидаю,викидаєш,викидає,викидаємо,викидаєте,викидають,to throw out (propel or project in an outward direction)
випереджати,випереджаю,випереджаєш,випереджає,випереджаємо,випереджаєте,випереджають,"to leave behind, to outpace, to outrun, to outstrip, to overtake, to run ahead of (move or progress faster than)"
виплачувати,виплачую,виплачуєш,виплачує,виплачуємо,виплачуєте,виплачують,"to pay, to pay out (:money)"
відволікати,відволікаю,відволікаєш,відволікає,відволікаємо,відволікаєте,відволікають,to drag away
нахабніти,нахабнію,нахабнієш,нахабніє,нахабніємо,нахабнієте,нахабніють,"to become impertinent, to become impudent, to become insolent, to become cheeky"
відволікатися,відволікаюсь,відволікаєшся,відволікається,відволікаємось,відволікаєтесь,відволікаються,"to become distracted, to get distracted, to get sidetracked"
відкидати,відкидаю,відкидаєш,відкидає,відкидаємо,відкидаєте,відкидають,"to throw off, to throw away, to cast off, to cast away"
оспівувати,оспівую,оспівуєш,оспівує,оспівуємо,оспівуєте,оспівують,"to sing in praise of, to sing the glories of, to carol (praise or celebrate in song)"
забарвлювати,забарвлюю,забарвлюєш,забарвлює,забарвлюємо,забарвлюєте,забарвлюють,"to colour (UK), to color (US), to dye, to paint, to tint (impart a certain coloration to)"
відгукуватися,відгукуюсь,відгукуєшся,відгукується,відгукуємось,відгукуєтесь,відгукуються,"to respond, to answer (to a call, challenge, appeal, etc.)"
відступати,відступаю,відступаєш,відступає,відступаємо,відступаєте,відступають,"to back away, to back off, to step away, to step back, to withdraw"
домагатися,домагаюсь,домагаєшся,домагається,домагаємось,домагаєтесь,домагаються,"to pursue, to seek, to strive for (persevere in pursuit of)"
кривдити,кривджу,кривдиш,кривдить,кривдимо,кривдите,кривдять,"to wrong, to mistreat, to abuse, to hurt"
пинити,пиню,пиниш,пинить,пинимо,пините,пинять,"to hinder, to interfere"
хапати,хапаю,хапаєш,хапає,хапаємо,хапаєте,хапають,"to grab, to grasp, to seize, to snatch"
манити,маню,маниш,манить,манимо,маните,манять,"to lure, to alure, to entice"
зацікавлюватися,зацікавлююсь,зацікавлюєшся,зацікавлюється,зацікавлюємось,зацікавлюєтесь,зацікавлюються,"to become interested, to take an interest (in: + instrumental case)"
переступати,переступаю,переступаєш,переступає,переступаємо,переступаєте,переступають,"to step across, to step over, to cross"
вабити,ваблю,вабиш,вабить,вабимо,вабите,ваблять,"to attract, to draw, to tempt"
позбавлятися,позбавляюсь,позбавляєшся,позбавляється,позбавляємось,позбавляєтесь,позбавляються,"to get rid of, to rid oneself of, to be rid of"
закріплювати,закріплюю,закріплюєш,закріплює,закріплюємо,закріплюєте,закріплюють,"to fasten, to fix, to secure (make fast; fasten securely; firmly affix)"
звільнятися,звільняюсь,звільняєшся,звільняється,звільняємось,звільняєтесь,звільняються,"passive of звільня́ти impf (zvilʹnjáty): to be freed, to be released, to be set free (from captivity, occupation, restraint, servitude, etc.)"
підозрювати,підозрюю,підозрюєш,підозрює,підозрюємо,підозрюєте,підозрюють,to suspect (:somebody or something)
називатися,називаюсь,називаєшся,називається,називаємось,називаєтесь,називаються,"to be called, to be named (to have as one's name)"
